id,prob,target
0,0.7081993,1
2,0.99042,1
3,0.9984268,1
9,0.94239914,1
11,0.99996334,1
12,0.7437899,1
21,0.035187304,0
22,0.0718877,0
27,0.019323051,0
29,0.021222234,0
30,0.051130235,0
35,0.04556501,0
42,0.024519831,0
43,0.07331383,0
45,0.03947103,0
46,0.89411604,1
47,0.031644285,0
51,0.4185713,0
58,0.3479357,0
60,0.19689527,0
69,0.5686287,1
70,0.61444646,1
72,0.0027980506,0
75,0.9914366,1
84,0.85551214,1
87,0.708718,1
88,0.677966,1
90,0.17581558,0
94,0.13905233,0
99,0.99989116,1
101,0.94797176,1
103,0.26818785,0
106,0.33953756,0
108,0.70945764,1
111,0.9990903,1
115,0.0017288327,0
116,0.5088204,1
122,0.27856052,0
123,0.35387257,0
124,0.99893403,1
125,0.052635103,0
127,0.8603612,1
140,0.69407237,1
142,0.96810114,1
147,0.0011769235,0
148,0.0112454295,0
150,0.0025647879,0
152,0.003540516,0
154,0.12889764,0
155,0.003540516,0
166,0.010177016,0
167,0.014248908,0
169,0.9992785,1
177,0.003540516,0
179,0.012344927,0
181,0.007637888,0
186,0.00093990564,0
188,0.0046158433,0
189,0.0007580817,0
192,0.012344927,0
200,0.99099326,1
202,0.12751603,0
206,0.7659359,1
207,0.99871063,1
214,0.999977,1
217,0.95652574,1
223,0.49511918,0
224,0.982611,1
227,0.7447627,1
228,0.7453957,1
230,0.42410952,0
233,0.4096251,0
234,0.9998943,1
236,0.99995196,1
239,0.9998952,1
250,0.9998599,1
255,0.12262541,0
257,0.023666024,0
259,0.23234612,0
275,0.83545953,1
278,0.22954348,0
282,0.05824542,0
284,0.15238482,0
286,0.15646419,0
288,0.9999051,1
292,0.99920964,1
295,0.017225474,0
300,0.23107702,0
304,0.98959625,1
305,0.98959625,1
306,0.3228828,0
308,0.020419061,0
311,0.16970363,0
317,0.60938156,1
319,0.07260692,0
323,0.029448241,0
324,0.03449604,0
325,0.4670953,0
326,0.94003695,1
333,0.18198323,0
339,0.43092477,0
342,0.1154204,0
343,0.3065174,0
350,0.15740553,0
351,0.7960392,1
357,0.23238021,0
359,0.22843891,0
362,0.4209574,0
366,0.29712883,0
